dimension,domain,case_study,reference,attribute,score,quality,importance,work_as_described,official_score,numeric_importance
Ecological,Organization,Dickey_Collas,dickey_collas1,Population modularity,2,Excellent,Medium,yes,2,2
Social-economic,Assets,Dickey_Collas,dickey_collas1,Wealth and reserves,4,Excellent,High,yes,4,3
Social-economic,Assets,Dickey_Collas,dickey_collas1,Economic diversity,4,Fair,High,yes,4,3
Social-economic,Assets,Dickey_Collas,dickey_collas1,Social diversity,2,Good,Medium,no,2,2
Social-economic,Flexibility,Dickey_Collas,dickey_collas1,Flexible and agile infrstructure,4,Fair,High,NA,4,3
Social-economic,Flexibility,Dickey_Collas,dickey_collas1,Mobility,4,Excellent,Low,yes,4,1
Social-economic,Flexibility,Dickey_Collas,dickey_collas1,Economic opportunity,4,Excellent,High,yes,4,3
Social-economic,Flexibility,Dickey_Collas,dickey_collas1,Resilience mindset,3,Good,Medium,yes,3,2
Social-economic,Flexibility,Dickey_Collas,dickey_collas1,Place attachment,1,Fair,Low,no,1,1
Social-economic,Organization,Dickey_Collas,dickey_collas1,Social capital,4,Good,High,yes,4,3
Social-economic,Organization,Dickey_Collas,dickey_collas1,Technology transfer,4,Excellent,High,no,4,3
Social-economic,Organization,Dickey_Collas,dickey_collas1,Modular infrastructure,4,Good,High,yes,4,3
Social-economic,Learning,Dickey_Collas,dickey_collas1,Knowledge diversity,3,Fair,Medium,yes,3,2
Social-economic,Learning,Dickey_Collas,dickey_collas1,Knowledge access,4,Excellent,Medium,yes,4,2
Social-economic,Learning,Dickey_Collas,dickey_collas1,Learning capacity,4,Excellent,High,yes,4,3
Social-economic,Agency,Dickey_Collas,dickey_collas1,Agency,4,Excellent,High,yes,4,3
Goverance,Flexibility,Dickey_Collas,dickey_collas1,Responsive,3,Fair,High,yes,3,3
Goverance,Organization,Dickey_Collas,dickey_collas1,Participatory,3,Fair,Low,yes,3,1
Goverance,Organization,Dickey_Collas,dickey_collas1,Transparent,3,Excellent,Low,yes,3,1
Goverance,Organization,Dickey_Collas,dickey_collas1,Polycentric,3,Fair,Low,yes,3,1
Goverance,Organization,Dickey_Collas,dickey_collas1,Cross-scale integration,3,Fair,Low,yes,3,1
Goverance,Learning,Dickey_Collas,dickey_collas1,Adaptive,3,Fair,Low,yes,3,1
Goverance,Agency,Dickey_Collas,dickey_collas1,Leadership and initiative,3,Fair,Low,yes,3,1
Ecological,Assets,Eurich,eurich1,Population abundance,2,Excellent,Medium,yes,2,2
Ecological,Assets,Eurich,eurich1,Age structure,2,Good,Medium,yes,2,2
Ecological,Assets,Eurich,eurich1,Genetic diversity,3,Low,Low,yes,3,1
Ecological,Assets,Eurich,eurich1,Species diversity,4,Excellent,High,yes,4,3
Ecological,Flexibility,Eurich,eurich1,Adult mobility,1,Excellent,Low,no,1,1
Ecological,Flexibility,Eurich,eurich1,Larval dispersal,4,Good,High,yes,4,3
Ecological,Flexibility,Eurich,eurich1,Environmental niche breadth,3,Good,Medium,yes,3,2
Ecological,Flexibility,Eurich,eurich1,Dietary flexibility,1,Excellent,Low,no,1,1
Ecological,Flexibility,Eurich,eurich1,Habitat diversity,3,Excellent,Medium,yes,3,2
Ecological,Flexibility,Eurich,eurich1,Plasticity,4,Excellent,High,yes,4,3
Ecological,Flexibility,Eurich,eurich1,Evolutionary potential,4,Excellent,High,yes,4,3
Ecological,Organization,Eurich,eurich1,Ecosystem connectivity,3,Good,High,yes,3,3
Ecological,Organization,Eurich,eurich1,Population modularity,2,Fair,Low,yes,2,1
Social-economic,Assets,Eurich,eurich1,Wealth and reserves,2,Good,Medium,yes,2,2
Social-economic,Assets,Eurich,eurich1,Economic diversity,2,Fair,Medium,yes,2,2
Social-economic,Assets,Eurich,eurich1,Social diversity,2,E - No data,Medium,yes,2,2
Social-economic,Flexibility,Eurich,eurich1,Flexible and agile infrstructure,1,Good,Medium,no,1,2
Social-economic,Flexibility,Eurich,eurich1,Mobility,2,Good,Medium,yes,2,2
Social-economic,Flexibility,Eurich,eurich1,Economic opportunity,2,Fair,Medium,yes,2,2
Social-economic,Flexibility,Eurich,eurich1,Resilience mindset,4,Good,High,yes,4,3
Social-economic,Flexibility,Eurich,eurich1,Place attachment,4,Good,High,yes,4,3
Social-economic,Organization,Eurich,eurich1,Social capital,3,Fair,Medium,yes,3,2
Social-economic,Organization,Eurich,eurich1,Technology transfer,1,Fair,Low,yes,1,1
Social-economic,Organization,Eurich,eurich1,Modular infrastructure,2,Good,Low,yes,2,1
Social-economic,Learning,Eurich,eurich1,Knowledge diversity,3,Fair,Medium,yes,3,2
Social-economic,Learning,Eurich,eurich1,Knowledge access,3,Fair,Medium,yes,3,2
Social-economic,Learning,Eurich,eurich1,Learning capacity,3,Good,Medium,yes,3,2
Social-economic,Agency,Eurich,eurich1,Agency,4,Good,High,yes,4,3
Goverance,Flexibility,Eurich,eurich1,Responsive,2,Good,Medium,yes,2,2
Goverance,Organization,Eurich,eurich1,Participatory,4,Good,High,yes,4,3
Goverance,Organization,Eurich,eurich1,Equitable and inclusive,3,Fair,High,yes,3,3
Goverance,Organization,Eurich,eurich1,Accountable,4,Fair,Medium,yes,4,2
Goverance,Organization,Eurich,eurich1,Transparent,2,Fair,Medium,yes,2,2
Goverance,Organization,Eurich,eurich1,Effective and efficient,2,Good,High,yes,2,3
Goverance,Organization,Eurich,eurich1,Polycentric,3,Fair,High,yes,3,3
Goverance,Organization,Eurich,eurich1,Cross-scale integration,3,Good,High,yes,3,3
Goverance,Learning,Eurich,eurich1,Adaptive,4,Good,High,yes,4,3
Goverance,Agency,Eurich,eurich1,Leadership and initiative,3,Fair,High,yes,3,3
Ecological,Assets,Free,free1,Population abundance,4,Excellent,High,yes,4,3
Ecological,Assets,Free,free1,Age structure,3,Excellent,Medium,yes,3,2
Ecological,Assets,Free,free1,Genetic diversity,4,Excellent,Low,yes,4,1
Ecological,Assets,Free,free1,Species diversity,3,Excellent,Low,yes,3,1
Ecological,Flexibility,Free,free1,Adult mobility,2,Excellent,Low,yes,2,1
Ecological,Flexibility,Free,free1,Larval dispersal,4,Excellent,Medium,yes,4,2
Ecological,Flexibility,Free,free1,Environmental niche breadth,3,Good,Medium,yes,3,2
Ecological,Flexibility,Free,free1,Dietary flexibility,4,Excellent,Medium,yes,4,2
Ecological,Flexibility,Free,free1,Habitat diversity,2,Excellent,Low,no,2,1
Ecological,Flexibility,Free,free1,Plasticity,3,Good,Medium,yes,3,2
Ecological,Flexibility,Free,free1,Evolutionary potential,3,Good,Low,yes,3,1
Ecological,Organization,Free,free1,Ecosystem connectivity,3,Excellent,Low,yes,3,1
Ecological,Organization,Free,free1,Population modularity,1,Excellent,Low,yes,1,1
Social-economic,Assets,Free,free1,Wealth and reserves,3,Low,High,yes,3,3
Social-economic,Assets,Free,free1,Economic diversity,2,Fair,High,yes,2,3
Social-economic,Assets,Free,free1,Social diversity,2,No data,Low,yes,2,1
Social-economic,Flexibility,Free,free1,Flexible and agile infrstructure,2,Good,Medium,yes,2,2
Social-economic,Flexibility,Free,free1,Mobility,3,Good,High,yes,3,3
Social-economic,Flexibility,Free,free1,Economic opportunity,3,Good,High,yes,3,3
Social-economic,Flexibility,Free,free1,Resilience mindset,3,Low,High,yes,3,3
Social-economic,Flexibility,Free,free1,Place attachment,3,Fair,Medium,no,3,2
Social-economic,Organization,Free,free1,Social capital,3,Good,High,yes,3,3
Social-economic,Organization,Free,free1,Technology transfer,2,Fair,Low,yes,2,1
Social-economic,Organization,Free,free1,Modular infrastructure,2,Low,Low,yes,2,1
Social-economic,Learning,Free,free1,Knowledge diversity,3,Fair,Medium,yes,3,2
Social-economic,Learning,Free,free1,Knowledge access,3,Excellent,High,yes,3,3
Social-economic,Learning,Free,free1,Learning capacity,4,Good,High,yes,4,3
Social-economic,Agency,Free,free1,Agency,3,Low,Medium,yes,3,2
Goverance,Flexibility,Free,free1,Responsive,2,Fair,High,yes,2,3
Goverance,Organization,Free,free1,Participatory,3,Excellent,High,yes,3,3
Goverance,Organization,Free,free1,Equitable and inclusive,3,Good,High,yes,3,3
Goverance,Organization,Free,free1,Accountable,4,Excellent,High,yes,4,3
Goverance,Organization,Free,free1,Transparent,3,Excellent,High,yes,3,3
Goverance,Organization,Free,free1,Effective and efficient,2,Good,High,yes,2,3
Goverance,Organization,Free,free1,Polycentric,4,Excellent,High,yes,4,3
Goverance,Organization,Free,free1,Cross-scale integration,4,Excellent,High,yes,4,3
Goverance,Learning,Free,free1,Adaptive,2,Fair,High,yes,2,3
Goverance,Agency,Free,free1,Leadership and initiative,4,Good,High,yes,4,3
Ecological,Assets,Friedman,friedman1,Population abundance,3,Good,High,yes,3,3
Ecological,Assets,Friedman,friedman1,Age structure,2,Good,High,yes,2,3
Ecological,Assets,Friedman,friedman1,Genetic diversity,4,Fair,High,yes,4,3
Ecological,Assets,Friedman,friedman1,Species diversity,4,Excellent,High,yes,4,3
Ecological,Flexibility,Friedman,friedman1,Adult mobility,2,Excellent,Medium,yes,2,2
Ecological,Flexibility,Friedman,friedman1,Larval dispersal,3,Good,High,yes,3,3
Ecological,Flexibility,Friedman,friedman1,Environmental niche breadth,3,Excellent,High,yes,3,3
Ecological,Flexibility,Friedman,friedman1,Habitat diversity,4,Excellent,High,yes,4,3
Social-economic,Flexibility,Hollowed,hollowed1,Flexible and agile infrstructure,2,Good,High,no,2,3
Ecological,Assets,Kleisner,kleisner1,Population abundance,3,Fair,High,yes,3,3
Ecological,Assets,Kleisner,kleisner1,Age structure,3,Fair,High,yes,3,3
Ecological,Assets,Kleisner,kleisner1,Genetic diversity,2,Fair,High,"NA",2,3
Ecological,Assets,Kleisner,kleisner1,Species diversity,4,Excellent,High,yes,4,3
Ecological,Flexibility,Kleisner,kleisner1,Adult mobility,3,Fair,Low,yes,3,1
Ecological,Flexibility,Kleisner,kleisner1,Larval dispersal,3,Good,Medium,yes,3,2
Ecological,Flexibility,Kleisner,kleisner1,Environmental niche breadth,2,Fair,High,yes,2,3
Ecological,Flexibility,Kleisner,kleisner1,Dietary flexibility,3,Fair,Medium,yes,3,2
Ecological,Flexibility,Kleisner,kleisner1,Habitat diversity,2,Good,Medium,yes,2,2
Ecological,Flexibility,Kleisner,kleisner1,Plasticity,2,Good,Low,"NA",2,1
Ecological,Flexibility,Kleisner,kleisner1,Evolutionary potential,2,Fair,Medium,no,2,2
Ecological,Organization,Kleisner,kleisner1,Ecosystem connectivity,3,Fair,Medium,yes,3,2
Ecological,Organization,Kleisner,kleisner1,Population modularity,3,Fair,Medium,yes,3,2
Social-economic,Assets,Kleisner,kleisner1,Wealth and reserves,3,Fair,High,yes,3,3
Social-economic,Assets,Kleisner,kleisner1,Economic diversity,2,Fair,High,yes,2,3
Social-economic,Assets,Kleisner,kleisner1,Social diversity,3,Low,Medium,yes,3,2
Social-economic,Flexibility,Kleisner,kleisner1,Flexible and agile infrstructure,2,Fair,Medium,yes,2,2
Social-economic,Flexibility,Kleisner,kleisner1,Mobility,2,Fair,High,yes,2,3
Social-economic,Flexibility,Kleisner,kleisner1,Economic opportunity,3,Fair,High,yes,3,3
Social-economic,Flexibility,Kleisner,kleisner1,Resilience mindset,3,Fair,High,yes,3,3
Social-economic,Flexibility,Kleisner,kleisner1,Place attachment,4,Fair,High,yes,4,3
Social-economic,Organization,Kleisner,kleisner1,Social capital,4,Fair,High,yes,4,3
Social-economic,Organization,Kleisner,kleisner1,Technology transfer,2,Low,Low,"NA",2,1
Social-economic,Organization,Kleisner,kleisner1,Modular infrastructure,3,Fair,Low,"NA",3,1
Social-economic,Learning,Kleisner,kleisner1,Knowledge diversity,3,Fair,Medium,yes,3,2
Social-economic,Learning,Kleisner,kleisner1,Knowledge access,3,Fair,Medium,yes,3,2
Social-economic,Learning,Kleisner,kleisner1,Learning capacity,4,Fair,High,yes,4,3
Social-economic,Agency,Kleisner,kleisner1,Agency,3,Low,High,yes,3,3
Goverance,Flexibility,Kleisner,kleisner1,Responsive,3,Fair,Medium,yes,3,2
Goverance,Organization,Kleisner,kleisner1,Participatory,3,Fair,High,yes,3,3
Goverance,Organization,Kleisner,kleisner1,Equitable and inclusive,3,Fair,High,yes,3,3
Goverance,Organization,Kleisner,kleisner1,Accountable,4,Fair,Medium,yes,4,2
Goverance,Organization,Kleisner,kleisner1,Transparent,3,Fair,Medium,yes,3,2
Goverance,Organization,Kleisner,kleisner1,Effective and efficient,3,Fair,Medium,yes,3,2
Goverance,Organization,Kleisner,kleisner1,Polycentric,3,Fair,Medium,yes,3,2
Goverance,Organization,Kleisner,kleisner1,Cross-scale integration,2,Fair,High,yes,2,3
Goverance,Learning,Kleisner,kleisner1,Adaptive,2,Fair,High,yes,2,3
Goverance,Agency,Kleisner,kleisner1,Leadership and initiative,4,Fair,High,yes,4,3
Ecological,Assets,Lau,lau1,Population abundance,3,Good,Medium,yes,3,2
Ecological,Assets,Lau,lau1,Age structure,2,Good,Low,yes,2,1
Ecological,Assets,Lau,lau1,Species diversity,3,Excellent,High,yes,3,3
Ecological,Flexibility,Lau,lau1,Adult mobility,2,Fair,Low,yes,2,1
Ecological,Flexibility,Lau,lau1,Larval dispersal,3,Fair,High,yes,3,3
Ecological,Flexibility,Lau,lau1,Habitat diversity,3,Excellent,High,yes,3,3
Ecological,Flexibility,Lau,lau1,Plasticity,2,Low,Low,yes,2,1
Ecological,Organization,Lau,lau1,Ecosystem connectivity,3,Fair,High,yes,3,3
Ecological,Organization,Lau,lau1,Population modularity,1,Fair,High,no,1,3
Social-economic,Assets,Lau,lau1,Wealth and reserves,2,Good,Medium,yes,2,2
Social-economic,Assets,Lau,lau1,Economic diversity,2,Good,High,yes,2,3
Social-economic,Assets,Lau,lau1,Social diversity,2,Good,Medium,yes,2,2
Social-economic,Flexibility,Lau,lau1,Flexible and agile infrstructure,2,Good,Medium,yes,2,2
Social-economic,Flexibility,Lau,lau1,Mobility,2,Good,Medium,yes,2,2
Social-economic,Flexibility,Lau,lau1,Economic opportunity,2,Good,Medium,yes,2,2
Social-economic,Flexibility,Lau,lau1,Resilience mindset,2,Good,High,yes,2,3
Social-economic,Flexibility,Lau,lau1,Place attachment,4,Excellent,High,no,4,3
Social-economic,Organization,Lau,lau1,Social capital,4,Excellent,High,yes,4,3
Social-economic,Organization,Lau,lau1,Technology transfer,2,Fair,Medium,yes,2,2
Social-economic,Organization,Lau,lau1,Modular infrastructure,2,Good,Medium,no,2,2
Social-economic,Learning,Lau,lau1,Knowledge diversity,2,Good,Medium,yes,2,2
Social-economic,Learning,Lau,lau1,Knowledge access,2,Good,Medium,yes,2,2
Social-economic,Learning,Lau,lau1,Learning capacity,3,Good,High,yes,3,3
Social-economic,Agency,Lau,lau1,Agency,3,Good,High,yes,3,3
Goverance,Flexibility,Lau,lau1,Responsive,4,Excellent,Medium,yes,4,2
Goverance,Organization,Lau,lau1,Participatory,3,Good,High,yes,3,3
Goverance,Organization,Lau,lau1,Equitable and inclusive,3,Good,Medium,no,3,2
Goverance,Organization,Lau,lau1,Accountable,2,Good,Medium,yes,2,2
Goverance,Organization,Lau,lau1,Transparent,3,Good,Medium,yes,3,2
Goverance,Organization,Lau,lau1,Effective and efficient,2,Good,Medium,yes,2,2
Goverance,Organization,Lau,lau1,Polycentric,2,Good,Low,yes,2,1
Goverance,Organization,Lau,lau1,Cross-scale integration,2,Good,Medium,yes,2,2
Goverance,Learning,Lau,lau1,Adaptive,4,Excellent,High,yes,4,3
Goverance,Agency,Lau,lau1,Leadership and initiative,4,Excellent,High,yes,4,3
Ecological,Assets,Mason,mason1,Population abundance,4,Excellent,High,yes,4,3
Ecological,Assets,Mason,mason1,Age structure,3,Excellent,High,yes,3,3
Ecological,Assets,Mason,mason1,Genetic diversity,3,Excellent,Low,yes,3,1
Ecological,Assets,Mason,mason1,Species diversity,3,Excellent,Medium,yes,3,2
Ecological,Flexibility,Mason,mason1,Adult mobility,4,Excellent,Medium,yes,4,2
Ecological,Flexibility,Mason,mason1,Larval dispersal,4,Excellent,High,yes,4,3
Ecological,Flexibility,Mason,mason1,Environmental niche breadth,3,Excellent,Medium,yes,3,2
Ecological,Flexibility,Mason,mason1,Dietary flexibility,3,Good,High,no,3,3
Ecological,Flexibility,Mason,mason1,Habitat diversity,3,Good,Low,yes,3,1
Ecological,Flexibility,Mason,mason1,Plasticity,2,Good,Low,yes,2,1
Ecological,Flexibility,Mason,mason1,Evolutionary potential,3,Good,Low,yes,3,1
Ecological,Organization,Mason,mason1,Ecosystem connectivity,4,Excellent,Low,yes,4,1
Ecological,Organization,Mason,mason1,Population modularity,2,Excellent,Medium,yes,2,2
Social-economic,Assets,Mason,mason1,Wealth and reserves,4,Excellent,High,yes,4,3
Social-economic,Assets,Mason,mason1,Economic diversity,2,Excellent,High,no,2,3
Social-economic,Assets,Mason,mason1,Social diversity,2,Excellent,Medium,yes,2,2
Social-economic,Flexibility,Mason,mason1,Flexible and agile infrstructure,3,Good,High,yes,3,3
Social-economic,Flexibility,Mason,mason1,Mobility,4,Excellent,High,yes,4,3
Social-economic,Flexibility,Mason,mason1,Economic opportunity,3,Excellent,High,yes,3,3
Social-economic,Flexibility,Mason,mason1,Resilience mindset,4,Excellent,High,no,4,3
Social-economic,Flexibility,Mason,mason1,Place attachment,4,Good,High,yes,4,3
Social-economic,Organization,Mason,mason1,Social capital,4,Excellent,High,yes,4,3
Social-economic,Organization,Mason,mason1,Technology transfer,4,Excellent,High,yes,4,3
Social-economic,Organization,Mason,mason1,Modular infrastructure,3,Good,High,yes,3,3
Social-economic,Learning,Mason,mason1,Knowledge diversity,2,Excellent,Medium,yes,2,2
Social-economic,Learning,Mason,mason1,Knowledge access,4,Excellent,High,yes,4,3
Social-economic,Learning,Mason,mason1,Learning capacity,3,Excellent,High,yes,3,3
Social-economic,Agency,Mason,mason1,Agency,3,Good,Medium,yes,3,2
Goverance,Flexibility,Mason,mason1,Responsive,3,Excellent,High,yes,3,3
Goverance,Organization,Mason,mason1,Participatory,2,Excellent,Medium,yes,2,2
Goverance,Organization,Mason,mason1,Equitable and inclusive,2,Good,Medium,yes,2,2
Goverance,Organization,Mason,mason1,Accountable,3,Good,Medium,yes,3,2
Goverance,Organization,Mason,mason1,Transparent,4,Excellent,High,yes,4,3
Goverance,Organization,Mason,mason1,Effective and efficient,4,Good,High,yes,4,3
Goverance,Organization,Mason,mason1,Polycentric,2,Excellent,Medium,yes,2,2
Goverance,Organization,Mason,mason1,Cross-scale integration,2,Excellent,High,yes,2,3
Goverance,Learning,Mason,mason1,Adaptive,3,Good,High,yes,3,3
Goverance,Agency,Mason,mason1,Leadership and initiative,4,Good,High,yes,4,3
Ecological,Assets,Mills,mills1,Population abundance,4,Excellent,High,yes,4,3
Ecological,Assets,Mills,mills1,Age structure,2,Excellent,Medium,yes,2,2
Ecological,Assets,Mills,mills1,Genetic diversity,4,Excellent,Low,yes,4,1
Ecological,Assets,Mills,mills1,Species diversity,3,Excellent,High,yes,3,3
Ecological,Flexibility,Mills,mills1,Adult mobility,3,Excellent,Medium,yes,3,2
Ecological,Flexibility,Mills,mills1,Larval dispersal,3,Excellent,Medium,yes,3,2
Ecological,Flexibility,Mills,mills1,Environmental niche breadth,3,Excellent,High,yes,3,3
Ecological,Flexibility,Mills,mills1,Dietary flexibility,4,Excellent,Low,no,4,1
Ecological,Flexibility,Mills,mills1,Habitat diversity,2,Excellent,Low,no,2,1
Ecological,Flexibility,Mills,mills1,Plasticity,3,Excellent,Medium,yes,3,2
Ecological,Flexibility,Mills,mills1,Evolutionary potential,2,Good,Low,yes,2,1
Ecological,Organization,Mills,mills1,Ecosystem connectivity,2,Good,Low,no,2,1
Ecological,Organization,Mills,mills1,Population modularity,4,Excellent,High,yes,4,3
Social-economic,Assets,Mills,mills1,Wealth and reserves,4,Excellent,High,yes,4,3
Social-economic,Assets,Mills,mills1,Economic diversity,2,Excellent,High,no,2,3
Social-economic,Assets,Mills,mills1,Social diversity,2,Good,Low,no,2,1
Social-economic,Flexibility,Mills,mills1,Mobility,2,Good,Medium,yes,2,2
Social-economic,Flexibility,Mills,mills1,Economic opportunity,3,Excellent,High,yes,3,3
Social-economic,Flexibility,Mills,mills1,Resilience mindset,2,Good,High,yes,2,3
Social-economic,Flexibility,Mills,mills1,Place attachment,4,Good,High,yes,4,3
Social-economic,Organization,Mills,mills1,Social capital,3,Good,Medium,no,3,2
Social-economic,Organization,Mills,mills1,Technology transfer,3,Good,Medium,yes,3,2
Social-economic,Organization,Mills,mills1,Modular infrastructure,2,Low,Medium,yes,2,2
Social-economic,Learning,Mills,mills1,Knowledge diversity,4,Excellent,Medium,yes,4,2
